comparison,variable,variable_type,hc_value,incident_value,hc_n,incident_n,test_statistic,test_name,p_value,effect_size,effect_size_type,effect_size_interp,flag_small_effect,hc_highlight_pct,incident_highlight_pct,highlight_category
HC vs. depression,Age at Wave 2 (yr),continuous,12.02 (SD 0.66),11.98 (SD 0.64),2004,463,1.0986951156257332,Welch t,0.2722722914454758,0.05522882888138014,Cohen's d,negligible,False,,,
HC vs. depression,Sex,categorical,Female: 1306 (65.2%); Male: 698 (34.8%),Female: 319 (68.9%); Male: 144 (31.1%),2004,463,2.163187806702177,chi² (1),0.14135117485109394,0.02961164528633134,Cramer's V,negligible,False,65.16966067864271,68.89848812095032,Female
HC vs. depression,Race/ethnicity,categorical,Asian: 52 (2.6%); Black: 157 (7.8%); Hispanic: 271 (13.5%); Other: 181 (9.0%); White: 1343 (67.0%),Asian: 5 (1.1%); Black: 27 (5.8%); Hispanic: 78 (16.8%); Other: 62 (13.4%); White: 291 (62.9%),2004,463,16.93551466371609,chi² (4),0.001989513244570882,0.08285421841650947,Cramer's V,negligible,False,67.01596806387225,62.850971922246224,White
HC vs. depression,Annual household income,categorical,50–100k: 561 (28.0%); <50k: 276 (13.8%); >100k: 1058 (52.8%); DK: 50 (2.5%); Decline: 59 (2.9%),50–100k: 150 (32.4%); <50k: 109 (23.5%); >100k: 177 (38.2%); DK: 14 (3.0%); Decline: 13 (2.8%),2004,463,41.90123761164879,chi² (4),1.748673094924939e-08,0.13032533518911807,Cramer's V,small,True,52.79441117764471,38.22894168466523,>100k
HC vs. obesity,Age at Wave 2 (yr),continuous,12.02 (SD 0.66),11.93 (SD 0.64),2004,457,2.7226834582153523,Welch t,0.006636900843290319,0.13772324686913073,Cohen's d,negligible,False,,,
HC vs. obesity,Sex,categorical,Female: 1306 (65.2%); Male: 698 (34.8%),Female: 238 (52.1%); Male: 219 (47.9%),2004,457,26.723054215772237,chi² (1),2.3480326872394753e-07,0.10420468366358963,Cramer's V,small,True,65.16966067864271,52.078774617067836,Female
HC vs. obesity,Race/ethnicity,categorical,Asian: 52 (2.6%); Black: 157 (7.8%); Hispanic: 271 (13.5%); Other: 181 (9.0%); White: 1343 (67.0%),Asian: 6 (1.3%); Black: 49 (10.7%); Hispanic: 77 (16.8%); Other: 47 (10.3%); White: 278 (60.8%),2004,457,12.004578774486754,chi² (4),0.01731724875483952,0.06984215899945026,Cramer's V,negligible,False,67.01596806387225,60.83150984682713,White
HC vs. obesity,Annual household income,categorical,50–100k: 561 (28.0%); <50k: 276 (13.8%); >100k: 1058 (52.8%); DK: 50 (2.5%); Decline: 59 (2.9%),50–100k: 139 (30.4%); <50k: 102 (22.3%); >100k: 192 (42.0%); DK: 15 (3.3%); Decline: 9 (2.0%),2004,457,29.13550466075337,chi² (4),7.337218677270677e-06,0.1088066566221753,Cramer's V,small,True,52.79441117764471,42.01312910284464,>100k
HC vs. hypertension,Age at Wave 2 (yr),continuous,12.02 (SD 0.66),12.05 (SD 0.67),2004,270,-0.8295494329641273,Welch t,0.4073698155616456,-0.05432600713778821,Cohen's d,negligible,False,,,
HC vs. hypertension,Sex,categorical,Female: 1306 (65.2%); Male: 698 (34.8%),Female: 93 (34.4%); Male: 177 (65.6%),2004,270,93.59555565482944,chi² (1),3.8705574391721484e-22,0.20287679869978376,Cramer's V,small,True,65.16966067864271,34.44444444444444,Female
HC vs. hypertension,Race/ethnicity,categorical,Asian: 52 (2.6%); Black: 157 (7.8%); Hispanic: 271 (13.5%); Other: 181 (9.0%); White: 1343 (67.0%),Asian: 4 (1.5%); Black: 44 (16.3%); Hispanic: 35 (13.0%); Other: 39 (14.4%); White: 148 (54.8%),2004,270,33.1360908358464,chi² (4),1.1202443046019032e-06,0.12071337873111578,Cramer's V,small,True,67.01596806387225,54.81481481481482,White
HC vs. hypertension,Annual household income,categorical,50–100k: 561 (28.0%); <50k: 276 (13.8%); >100k: 1058 (52.8%); DK: 50 (2.5%); Decline: 59 (2.9%),50–100k: 81 (30.0%); <50k: 65 (24.1%); >100k: 102 (37.8%); DK: 8 (3.0%); Decline: 14 (5.2%),2004,270,31.62351037967148,chi² (4),2.283784016305091e-06,0.11792606537654914,Cramer's V,small,True,52.79441117764471,37.77777777777778,>100k
