outcome,predictor,spec,or_per_sd,ci_lo,ci_hi,p,n,n_events
depression,mesor,multi_2comp,1.131462512469399,1.0228421347464183,1.251617794803645,0.016459500328532516,4176,462
depression,amplitude_24,multi_2comp,1.0175762976281182,0.9255263558290329,1.118781237263678,0.7187224844707236,4176,462
depression,acrophase_24,multi_2comp,0.9499412532463462,0.8656080490885889,1.042490750368341,0.27895197028872576,4176,462
depression,amplitude_12,multi_2comp,1.0815947680298115,0.9860996568716901,1.1863377439362406,0.09628124502671562,4176,462
depression,acrophase_12,multi_2comp,1.1816604836262339,1.0448784424292308,1.3363482696776543,0.007828217224613968,4176,462
depression,mesor,single_1comp,1.131462512469399,1.0228421347464183,1.251617794803645,0.016459500328532516,4176,462
depression,amplitude_24,single_1comp,1.017576297628118,0.9255263558290328,1.118781237263678,0.718722484470725,4176,462
depression,acrophase_24,single_1comp,0.9499412532463462,0.8656080490885889,1.042490750368341,0.27895197028872654,4176,462
obesity,mesor,multi_2comp,1.284175978528957,1.1607627932430686,1.4207105477798292,1.223734096083913e-06,3908,453
obesity,amplitude_24,multi_2comp,0.9085959643042462,0.8228007364723112,1.0033372477149505,0.058207964609047785,3908,453
obesity,acrophase_24,multi_2comp,1.134816940438028,1.029554561232527,1.2508414189952506,0.01088413145713138,3908,453
obesity,amplitude_12,multi_2comp,1.0284837900188968,0.9323407508430415,1.1345411056796229,0.5748745836178887,3908,453
obesity,acrophase_12,multi_2comp,1.0826395755655343,0.9651972117234067,1.2143719815434022,0.1753135921073773,3908,453
obesity,mesor,single_1comp,1.284175978528957,1.1607627932430686,1.4207105477798292,1.223734096083913e-06,3908,453
obesity,amplitude_24,single_1comp,0.9085959643042465,0.8228007364723118,1.0033372477149505,0.05820796460904795,3908,453
obesity,acrophase_24,single_1comp,1.1348169404380282,1.029554561232527,1.2508414189952508,0.010884131457131352,3908,453
hypertension,mesor,multi_2comp,1.3090162876309985,1.138033736918461,1.5056879121378928,0.00016292383031454473,2653,266
hypertension,amplitude_24,multi_2comp,0.9408169052392028,0.8261935650728134,1.0713427053935758,0.3573913969132858,2653,266
hypertension,acrophase_24,multi_2comp,1.1605188947539076,1.0198834520307078,1.320547070745374,0.023902972001936296,2653,266
hypertension,amplitude_12,multi_2comp,0.9398385901185935,0.8254433251605836,1.0700874894157841,0.3487616675024029,2653,266
hypertension,acrophase_12,multi_2comp,1.0729862596298223,0.9192757481586737,1.252398440468456,0.3718574161777337,2653,266
hypertension,mesor,single_1comp,1.3090162876309985,1.138033736918461,1.5056879121378928,0.00016292383031454473,2653,266
hypertension,amplitude_24,single_1comp,0.9408169052392029,0.8261935650728138,1.0713427053935753,0.3573913969132839,2653,266
hypertension,acrophase_24,single_1comp,1.1605188947539073,1.019883452030708,1.320547070745373,0.02390297200193603,2653,266
