predictor	hr_mesor	hr_amplitude	hr_acrophase	steps_mesor	steps_amplitude	steps_acrophase	mets_mesor	mets_amplitude	mets_acrophase	sleep_mesor	sleep_amplitude	sleep_acrophase
hr_mesor	1.0	0.176	0.003	-0.023	-0.057	-0.05	0.024	-0.036	-0.038	-0.112	-0.097	0.004
hr_amplitude	0.176	1.0	-0.209	0.451	0.5	-0.09	0.536	0.629	-0.118	0.129	0.199	-0.149
hr_acrophase	0.003	-0.209	1.0	-0.218	-0.215	0.791	-0.165	-0.18	0.872	-0.11	-0.236	0.541
steps_mesor	-0.023	0.451	-0.218	1.0	0.935	-0.083	0.876	0.841	-0.146	0.08	0.18	-0.206
steps_amplitude	-0.057	0.5	-0.215	0.935	1.0	-0.085	0.795	0.896	-0.153	0.175	0.269	-0.228
steps_acrophase	-0.05	-0.09	0.791	-0.083	-0.085	1.0	-0.054	-0.05	0.959	-0.021	-0.119	0.446
mets_mesor	0.024	0.536	-0.165	0.876	0.795	-0.054	1.0	0.906	-0.094	0.054	0.149	-0.155
mets_amplitude	-0.036	0.629	-0.18	0.841	0.896	-0.05	0.906	1.0	-0.107	0.199	0.298	-0.197
mets_acrophase	-0.038	-0.118	0.872	-0.146	-0.153	0.959	-0.094	-0.107	1.0	-0.054	-0.164	0.495
sleep_mesor	-0.112	0.129	-0.11	0.08	0.175	-0.021	0.054	0.199	-0.054	1.0	0.887	-0.29
sleep_amplitude	-0.097	0.199	-0.236	0.18	0.269	-0.119	0.149	0.298	-0.164	0.887	1.0	-0.403
sleep_acrophase	0.004	-0.149	0.541	-0.206	-0.228	0.446	-0.155	-0.197	0.495	-0.29	-0.403	1.0
