outcome	reduced	full	chi2	df	p	auc_reduced	auc_full	delta_auc	delta_aic
Depression	M1_HR	M2_HR+activity	144.05260171961982	6	1.3976068585906244e-28	0.5907118412722446	0.6818587289622414	0.09114688768999679	-132.05260171961982
Depression	M1_HR	M3_HR+sleep	13.269692658006079	3	0.004088236255643061	0.5907118412722446	0.6183562157874121	0.027644374515167436	-7.269692658006079
Depression	M1_HR	M4_full	157.28268690229334	9	2.723594827987579e-29	0.5907118412722446	0.6930854501386333	0.10237360886638869	-139.28268690229334
Depression	M2_HR+activity	M4_full	13.23008518267352	3	0.004164553469699731	0.6818587289622414	0.6930854501386333	0.011226721176391896	-7.23008518267352
Depression	M3_HR+sleep	M4_full	144.01299424428726	6	1.4247876432330943e-28	0.6183562157874121	0.6930854501386333	0.07472923435122125	-132.01299424428726
Obesity	M1_HR	M2_HR+activity	132.80771328455558	6	3.2931124436553775e-26	0.6202784348163526	0.7081290719101149	0.08785063709376228	-120.80771328455558
Obesity	M1_HR	M3_HR+sleep	2.9363275815576344	3	0.4015467523139047	0.6202784348163526	0.6235017557790421	0.003223320962689513	3.0636724184423656
Obesity	M1_HR	M4_full	136.75832995365727	9	4.812422459810313e-25	0.6202784348163526	0.7121195298033819	0.0918410949870293	-118.75832995365727
Obesity	M2_HR+activity	M4_full	3.9506166691016915	3	0.26684625026556996	0.7081290719101149	0.7121195298033819	0.003990457893267019	2.0493833308983085
Obesity	M3_HR+sleep	M4_full	133.82200237209963	6	2.0131022528572896e-26	0.6235017557790421	0.7121195298033819	0.08861777402433979	-121.82200237209963
Hypertension	M1_HR	M2_HR+activity	191.7548947063417	6	1.0774951538128506e-38	0.7232469982748373	0.8003042594398319	0.07705726116499456	-179.7548947063417
Hypertension	M1_HR	M3_HR+sleep	22.602149029896964	3	4.8876180881632044e-05	0.7232469982748373	0.7423026400564668	0.01905564178162955	-16.602149029896964
Hypertension	M1_HR	M4_full	217.13855564255277	9	8.363498239491506e-42	0.7232469982748373	0.8178482203130679	0.09460122203823063	-199.13855564255277
Hypertension	M2_HR+activity	M4_full	25.383660936211072	3	1.2835767544081781e-05	0.8003042594398319	0.8178482203130679	0.017543960873236064	-19.383660936211072
Hypertension	M3_HR+sleep	M4_full	194.5364066126558	6	2.7592880902715046e-39	0.7423026400564668	0.8178482203130679	0.07554558025660107	-182.5364066126558
