variable,variable_type,super_healthy_summary,super_healthy_n,not_super_healthy_summary,not_super_healthy_n,test,statistic,p_value,effect_size_name,effect_size,effect_size_interp,p_bonferroni
Age at Wave 2 (yr),continuous,12.03 (SD 0.66),2987,11.97 (SD 0.65),2712,Welch t,3.549395417670962,0.0003892510857666462,Cohen's d,0.09407012417850741,negligible,0.004281761943433108
"Pubertal stage (PDS, Wave 2)",continuous,2.65 (SD 0.89),2967,2.96 (SD 0.94),2674,Welch t,-12.754396459673664,9.722016353958877e-37,Cohen's d,-0.3410494707270033,small,1.0694217989354764e-35
Wave-2 mean daily sleep (min),continuous,1742.31 (SD 566.75),2021,1618.48 (SD 584.90),1806,Welch t,6.6346783360486565,3.7186227863533135e-11,Cohen's d,0.21521682127874142,small,4.090485064988645e-10
Wave-2 mean daily WASO (min),continuous,58.03 (SD 11.02),2021,55.83 (SD 11.23),1806,Welch t,6.099088253371957,1.1745364887088187e-09,Cohen's d,0.19769696992604155,negligible,1.2919901375797006e-08
Wave-2 mean daily steps,continuous,9887.36 (SD 3249.13),2909,9089.36 (SD 3070.94),2620,Welch t,9.385859838002705,8.909275626729848e-21,Cohen's d,0.2520551385699856,small,9.800203189402832e-20
Wave-2 mean daily METs,continuous,1.98 (SD 0.27),2909,2.00 (SD 0.29),2622,Welch t,-1.7564077063709844,0.0790761873393115,Cohen's d,-0.047512443941082685,negligible,0.8698380607324265
Sex,categorical,Male: 1514 (51%); Female: 1473 (49%),2987,Female: 1524 (56%); Male: 1188 (44%),2712,chi² (1),26.717920869672092,2.354278779643993e-07,Cramer's V,0.06847026380653475,negligible,2.5897066576083923e-06
Race/ethnicity (collapsed),categorical,White: 1991 (67%); Hispanic: 418 (14%); Other: 265 (9%); Black: 232 (8%); Asian: 81 (3%),2987,White: 1483 (55%); Hispanic: 540 (20%); Black: 359 (13%); Other: 298 (11%); Asian: 32 (1%),2712,chi² (4),127.32062181817503,1.4565186316587854e-26,Cramer's V,0.1494686276352392,small,1.6021704948246639e-25
Household income (3 levels),categorical,>100k: 1553 (52%); 50–100k: 839 (28%); <50k: 416 (14%); Decline: 103 (3%); DK: 76 (3%),2987,>100k: 993 (37%); 50–100k: 801 (30%); <50k: 734 (27%); Decline: 94 (3%); DK: 90 (3%),2712,chi² (4),200.77752667883732,2.556841828477834e-42,Cramer's V,0.18769738475361739,small,2.812526011325617e-41
Parent education,categorical,Grad/professional: 1331 (45%); Bachelor's: 914 (31%); Some college: 558 (19%); HS/GED: 135 (5%); <HS: 49 (2%),2987,Grad/professional: 909 (34%); Some college: 747 (28%); Bachelor's: 731 (27%); HS/GED: 217 (8%); <HS: 108 (4%),2712,chi² (4),155.59893486609434,1.2842331645870866e-32,Cramer's V,0.16523573681833353,small,1.4126564810457953e-31
Study site,categorical,16: 311 (10%); 14: 245 (8%); 2: 242 (8%); 20: 240 (8%); 4: 185 (6%),2987,16: 248 (9%); 4: 228 (8%); 20: 202 (7%); 10: 184 (7%); 13: 181 (7%),2712,chi² (21),129.64508927078668,1.1817318699232532e-17,Cramer's V,0.1508268660129234,small,1.2999050569155785e-16
