outcome	predictor	predictor_label	n	n_cases	OR_base	OR_base_lo	OR_base_hi	p_base	auc_base	aic_base	OR_adj	OR_adj_lo	OR_adj_hi	p_adj	auc_adj	aic_adj	delta_auc	lrt_chi2	lrt_df	lrt_p	or_sd_daily_steps	p_sd_daily_steps	or_sd_daily_mets	p_sd_daily_mets	or_sd_daily_prop_asleep	p_sd_daily_prop_asleep
Depression	SD_daily_mesor	SD daily mesor	2229	410	1.184432326351975	1.0716439858285536	1.3090914093292827	0.0009157924141300949	0.5632336180426125	2121.8282224909617	1.0195527903151733	0.8959377358579201	1.1602233622229081	0.7690306139463599	0.6403049115702811	2059.5356329679034	0.07707129352766862	68.29258952305827	3	9.903863584240324e-15	0.5501893581010471	2.273324455644264e-09	1.930445534619986	3.3989950789175853e-09	0.9913237968085409	0.8872247504311522
Depression	SD_daily_amplitude	SD daily amplitude	2229	410	1.0277189109198788	0.9283726376795367	1.1376963484213887	0.5981120887112745	0.5265610962871585	2132.2017716679197	0.8596725713195938	0.7395312836688878	0.9993315309297084	0.04899095772501228	0.6389466203623003	2054.3301849503296	0.1123855240751418	83.87158671759039	3	4.532651726874845e-18	0.5465927510686499	5.208535033156507e-10	2.122724775688761	7.947365089138017e-13	0.961865788387166	0.533462017936162
Depression	SD_daily_acrophase	SD daily acrophase	2229	410	1.2876437460449894	1.165263171719144	1.4228772151810503	6.989307164371833e-07	0.5780501213478325	2107.96889963316	1.2107106806977876	1.0883767792572059	1.346794952163617	0.0004344735272821603	0.6504015875782727	2046.8675932084507	0.0723514662304402	67.10130642470949	3	1.781457133186808e-14	0.5622585606191436	1.2251359001276247e-08	1.8882199527817503	6.227660182062888e-09	0.9563849755290954	0.47618536529619226
Obesity	SD_daily_mesor	SD daily mesor	2226	407	1.2068695363242259	1.0884503930109963	1.3381722190188385	0.00035909012380857527	0.5999448896645158	2084.7274114359443	1.0705838789108295	0.9420325068215248	1.2166775917860175	0.29601691757885407	0.6465428395060061	2042.6732187660878	0.04659794984149035	48.05419266985655	3	2.0736782750976646e-10	0.6204080237963022	1.0161864068311938e-06	1.8260205810982229	8.007386424530484e-09	0.8892314555464309	0.057109144035276324
Obesity	SD_daily_amplitude	SD daily amplitude	2226	407	1.1159993025127075	1.0008637536011515	1.244379605843103	0.04821088557530615	0.5908651917447959	2093.3596520700876	0.9291735248232436	0.7970054417898795	1.0832591522757329	0.34805215001682377	0.6440182998731652	2042.7153816947766	0.053153108128369264	56.64427037531095	3	3.060868352736294e-12	0.61162750311392	4.0117520416868133e-07	1.9862680735994827	1.3800719906775227e-11	0.8708169861405901	0.02738607011885163
Obesity	SD_daily_acrophase	SD daily acrophase	2226	407	1.2176395530629354	1.1031217586148832	1.3440457226090485	9.325338997863249e-05	0.5986198102745657	2083.4455705137466	1.1652789311216063	1.050400340090502	1.2927213896359933	0.003870582099511614	0.649120058136001	2036.237453549455	0.050500247861435366	53.20811696429155	3	1.655300439296817e-11	0.6313283370180702	3.4713759948642102e-06	1.8406630621290818	6.414275294841444e-09	0.8565359067207585	0.012727132178981597
Hypertension	SD_daily_mesor	SD daily mesor	2040	221	1.1991893488565308	1.0400486008985093	1.38268066816166	0.012401283705823812	0.6831609033853319	1322.1776334776587	0.9496461715879031	0.7768629577023007	1.1608583499448404	0.6140966378997563	0.7621436869245944	1221.9574177251995	0.07898278353926258	106.22021575245913	3	7.139195248905852e-23	0.39701844171194073	2.069268507897077e-11	2.749628618145563	2.1752159627613105e-12	0.9836785564889778	0.842739251033587
Hypertension	SD_daily_amplitude	SD daily amplitude	2040	221	0.9936998101766255	0.872345287960977	1.1319363173877006	0.9242326708086743	0.6636409543307322	1329.38249855987	0.7127083209295202	0.5610879181895249	0.9053004605075081	0.005517232640302224	0.7650193159684476	1208.1098967873013	0.10137836163771541	127.2726017725688	3	2.0930817027889492e-27	0.3968072961135405	2.9244105866882284e-12	3.1868687131403424	3.074074217910541e-17	0.9236043318255691	0.35838647912722743
Hypertension	SD_daily_acrophase	SD daily acrophase	2040	221	1.2597261470169843	1.1112462459865544	1.4280452880805121	0.0003080235569845298	0.6900614180632291	1317.6545142111386	1.1215847318221206	0.982304863602727	1.2806129311452243	0.08987406828375506	0.7648750370025796	1219.8020616585468	0.07481361893935057	103.85245255259179	3	2.3067363192251913e-22	0.40582562389132554	6.679665924761151e-11	2.6195917929085724	1.7008021421985058e-11	0.9702503911822059	0.713593755319497
