frame	predictor	predictor_label	n	n_cases	OR_base	OR_base_lo	OR_base_hi	p_base	OR_adj	OR_adj_lo	OR_adj_hi	p_adj
Depression	typical_day_mesor	Mesor	1662	322	1.3614326170259634	1.1948317685315433	1.5512633824426403	3.6084451720810467e-06	1.4015431831244887	1.2213004389101534	1.6083866275489251	1.537011725250559e-06
Depression	typical_day_amplitude	Amplitude	1662	322	0.8712963721993228	0.7690682966860872	0.9871130710743212	0.030490253782196643	0.8416952872987834	0.7381747448865039	0.9597333985869533	0.01005978710158758
Depression	typical_day_acrophase	Acrophase	1662	322	1.1106983636340997	0.9804984977758022	1.2581873993462758	0.09886516022197683	1.10275777869372	0.9722056310116448	1.2508410563350683	0.1281343877912753
Obesity	typical_day_mesor	Mesor	2180	315	1.282256375215466	1.1342518380460145	1.4495735044283917	7.095338415233608e-05	1.300043576489405	1.142437836068217	1.479391917365072	6.904669367750379e-05
Obesity	typical_day_amplitude	Amplitude	2180	315	0.8613680215552126	0.76094821008987	0.9750399024794529	0.018292946925441766	0.8403980176921166	0.7384064372572745	0.9564770734721562	0.008437053775900908
Obesity	typical_day_acrophase	Acrophase	2180	315	1.202622473392636	1.0640182745150173	1.3592819297847583	0.0031452261600301524	1.1933985967351968	1.0554201374565404	1.3494154224892092	0.004796409500146396
Hypertension	typical_day_mesor	Mesor	862	160	1.4518954386874	1.2051632601852964	1.7491409127068538	8.71927190341447e-05	1.480793803462767	1.2242149694822388	1.7911480769599761	5.260225565741253e-05
Hypertension	typical_day_amplitude	Amplitude	862	160	0.7511033376685097	0.6237926427588915	0.9043970466878897	0.0025243750142140424	0.6860063810742187	0.5628979656050144	0.8360391822854262	0.0001880618661247617
Hypertension	typical_day_acrophase	Acrophase	862	160	1.3253036225753796	1.1105578426087166	1.5815742545075768	0.0017927208478310567	1.2989152107427786	1.0928064442942749	1.5438971224117584	0.0030100971994134547
